Change Physical Footprint: Designator=ANT1 Old Footprint=PIFA-2.4GHz New Footprint=PIFA-2.4GHz
Change Physical Footprint: Designator=Q1 Old Footprint=SOT23-3N New Footprint=SOT23-3N
Change Physical Footprint: Designator=R1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R3 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R4 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R5 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R6 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R7 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R8 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R9 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R10 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R11 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R12 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R13 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R14 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R15 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R16 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R17 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R18 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R19 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R20 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R21 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R22 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R23 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R24 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R25 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=R26 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R27 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=R28 Old Footprint=0402 New Footprint=0402
Change Physical Footprint: Designator=SW1 Old Footprint=EVQP2 New Footprint=EVQP2
Change Physical Footprint: Designator=SW2 Old Footprint=SSJ1304 New Footprint=SSJ1304
Change Physical Footprint: Designator=U1 Old Footprint=EPIC_LCC68 New Footprint=EPIC_LCC68
Change Physical Footprint: Designator=U2 Old Footprint=TSOT23-5 New Footprint=TSOT23-5
Change Physical Footprint: Designator=U3 Old Footprint=TSSOP50P490X110-10N New Footprint=TSSOP50P490X110-10N
Change Physical Footprint: Designator=U4 Old Footprint=SOT23-3N New Footprint=SOT23-3N
Change Physical Footprint: Designator=U5 Old Footprint=SC70-6 New Footprint=SC70-6
Change Physical Footprint: Designator=U6 Old Footprint=SC70-6 New Footprint=SC70-6
Change Physical Footprint: Designator=U7 Old Footprint=SC70-6 New Footprint=SC70-6
Change Physical Footprint: Designator=U8 Old Footprint=SC70-6 New Footprint=SC70-6
Change Physical Footprint: Designator=U9 Old Footprint=SOT23-5 New Footprint=SOT23-5
Change Physical Footprint: Designator=U10 Old Footprint=ULLGA6 New Footprint=ULLGA6
Change Physical Footprint: Designator=U11 Old Footprint=SOT23-5 New Footprint=SOT23-5
Change Physical Footprint: Designator=UT1 Old Footprint=Transducer New Footprint=Transducer
Change Physical Footprint: Designator=Y1 Old Footprint=RV4162 New Footprint=RV4162
